PID    | TIME
6584   | 21:24:18.406366
9748   | 21:24:18.412368
10904  | 21:24:18.416369
7720   | 21:24:18.419369
10860  | 21:24:18.423370
11352  | 21:24:18.426371
11192  | 21:24:18.430371
12000  | 21:24:18.433372
10652  | 21:24:18.436373
7936   | 21:24:18.440373
8324   | 21:24:18.443374
6136   | 21:24:18.445383
10516  | 21:24:18.448377
5728   | 21:24:18.451378
1600   | 21:24:18.454379
6996   | 21:24:18.457380
11780  | 21:24:18.460380
10448  | 21:24:18.463381
6652   | 21:24:18.466382
9716   | 21:24:18.469382
11444  | 21:24:18.473383
6576   | 21:24:18.476384
2928   | 21:24:18.479384
9916   | 21:24:18.493179
10688  | 21:24:18.496181
3200   | 21:24:18.499182
11156  | 21:24:18.502182
10656  | 21:24:18.505184
11636  | 21:24:18.508183
11312  | 21:24:18.511185
12088  | 21:24:18.514185
11284  | 21:24:18.517186
6584   | 21:24:18.520186
9748   | 21:24:18.523187
10904  | 21:24:18.527189
7720   | 21:24:18.530189
10860  | 21:24:18.533190
11352  | 21:24:18.536191
11192  | 21:24:18.539191
12000  | 21:24:18.542192
10652  | 21:24:18.545198
7936   | 21:24:18.549195
8324   | 21:24:18.552196
6136   | 21:24:18.555196
10516  | 21:24:18.558196
5728   | 21:24:18.561197
1600   | 21:24:18.564198
6996   | 21:24:18.567200
11780  | 21:24:18.570199
10448  | 21:24:18.573200
6652   | 21:24:18.576201
9716   | 21:24:18.579202
11444  | 21:24:18.582202
6576   | 21:24:18.585203
2928   | 21:24:18.588204
9916   | 21:24:18.591204
10688  | 21:24:18.594205
3200   | 21:24:18.597206
11156  | 21:24:18.600206
10656  | 21:24:18.603208
11636  | 21:24:18.607209
11312  | 21:24:18.610209
12088  | 21:24:18.613209
11284  | 21:24:18.616210
6584   | 21:24:18.620211
9748   | 21:24:18.623211
10904  | 21:24:18.627213
7720   | 21:24:18.630213
10860  | 21:24:18.633214
11352  | 21:24:18.637214
11192  | 21:24:18.640216
12000  | 21:24:18.643216
10652  | 21:24:18.646219
7936   | 21:24:18.649219
8324   | 21:24:18.652220
6136   | 21:24:18.655221
10516  | 21:24:18.658221
5728   | 21:24:18.661222
1600   | 21:24:18.665224
6996   | 21:24:18.668224
11780  | 21:24:18.671224
10448  | 21:24:18.674225
6652   | 21:24:18.677225
9716   | 21:24:18.680226
11444  | 21:24:18.684227
6576   | 21:24:18.687227
2928   | 21:24:18.691228
9916   | 21:24:18.695229
10688  | 21:24:18.698230
3200   | 21:24:18.701231
11156  | 21:24:18.704231
10656  | 21:24:18.707232
11636  | 21:24:18.711234
11312  | 21:24:18.714234
12088  | 21:24:18.717234
11284  | 21:24:18.721235
6584   | 21:24:18.724236
9748   | 21:24:18.727237
10904  | 21:24:18.730238
7720   | 21:24:18.733238
10860  | 21:24:18.738240
11352  | 21:24:18.742240
11192  | 21:24:18.745249
12000  | 21:24:18.748244
10652  | 21:24:18.752245
7936   | 21:24:18.755245
8324   | 21:24:18.758246
6136   | 21:24:18.762247
10516  | 21:24:18.765248
5728   | 21:24:18.768248
1600   | 21:24:18.771249
6996   | 21:24:18.775251
11780  | 21:24:18.778251
10448  | 21:24:18.781251
6652   | 21:24:18.784252
9716   | 21:24:18.788253
11444  | 21:24:18.791254
6576   | 21:24:18.794254
2928   | 21:24:18.797256
9916   | 21:24:18.801256
10688  | 21:24:18.804256
3200   | 21:24:18.807258
11156  | 21:24:18.810258
10656  | 21:24:18.814259
11636  | 21:24:18.817260
11312  | 21:24:18.821260
12088  | 21:24:18.824261
11284  | 21:24:18.827262
6584   | 21:24:18.831262
9748   | 21:24:18.834263
10904  | 21:24:18.837264
7720   | 21:24:18.840265
10860  | 21:24:18.844266
11352  | 21:24:18.847266
11192  | 21:24:18.850267
12000  | 21:24:18.853268
10652  | 21:24:18.857269
7936   | 21:24:18.860269
8324   | 21:24:18.863270
6136   | 21:24:18.867271
10516  | 21:24:18.870272
5728   | 21:24:18.873273
1600   | 21:24:18.877273
6996   | 21:24:18.880274
11780  | 21:24:18.885275
10448  | 21:24:18.888277
6652   | 21:24:18.892277
9716   | 21:24:18.895277
11444  | 21:24:18.899278
6576   | 21:24:18.902279
2928   | 21:24:18.906281
9916   | 21:24:18.909280
10688  | 21:24:18.913281
3200   | 21:24:18.916283
11156  | 21:24:18.919282
10656  | 21:24:18.922284
11636  | 21:24:18.926285
11312  | 21:24:18.929286
12088  | 21:24:18.933287
11284  | 21:24:18.937288
6584   | 21:24:18.941288
9748   | 21:24:18.945295
10904  | 21:24:18.948291
7720   | 21:24:18.952293
10860  | 21:24:18.955293
11352  | 21:24:18.959293
11192  | 21:24:18.962294
12000  | 21:24:18.966295
10652  | 21:24:18.969295
7936   | 21:24:18.972296
8324   | 21:24:18.976297
6136   | 21:24:18.979298
10516  | 21:24:18.982298
5728   | 21:24:18.986300
1600   | 21:24:18.989300
6996   | 21:24:18.993302
11780  | 21:24:18.996303
10448  | 21:24:19.009019
6652   | 21:24:19.013020
9716   | 21:24:19.016021
11444  | 21:24:19.019021
6576   | 21:24:19.023022
2928   | 21:24:19.027023
9916   | 21:24:19.031024
10688  | 21:24:19.035025
3200   | 21:24:19.038025
11156  | 21:24:19.041026
10656  | 21:24:19.045027
11636  | 21:24:19.049028
11312  | 21:24:19.052029
12088  | 21:24:19.055030
11284  | 21:24:19.059030
6584   | 21:24:19.062031
9748   | 21:24:19.066032
10904  | 21:24:19.069033
7720   | 21:24:19.072033
10860  | 21:24:19.076034
11352  | 21:24:19.079035
11192  | 21:24:19.082036
12000  | 21:24:19.086037
10652  | 21:24:19.090037
7936   | 21:24:19.094038
8324   | 21:24:19.097039
6136   | 21:24:19.101040
10516  | 21:24:19.105041
5728   | 21:24:19.108041
1600   | 21:24:19.112042
6996   | 21:24:19.115043
11780  | 21:24:19.118044
10448  | 21:24:19.122045
6652   | 21:24:19.125045
9716   | 21:24:19.129046
11444  | 21:24:19.132047
6576   | 21:24:19.136048
2928   | 21:24:19.139048
9916   | 21:24:19.143049
10688  | 21:24:19.146050
3200   | 21:24:19.150051
11156  | 21:24:19.154052
10656  | 21:24:19.159053
11636  | 21:24:19.162054
11312  | 21:24:19.166055
12088  | 21:24:19.169055
11284  | 21:24:19.173056
6584   | 21:24:19.176057
9748   | 21:24:19.180058
10904  | 21:24:19.184059
7720   | 21:24:19.188060
10860  | 21:24:19.191060
11352  | 21:24:19.195061
11192  | 21:24:19.199062
12000  | 21:24:19.203063
10652  | 21:24:19.207064
7936   | 21:24:19.210064
8324   | 21:24:19.214065
6136   | 21:24:19.217066
10516  | 21:24:19.221067
5728   | 21:24:19.225068
1600   | 21:24:19.229069
6996   | 21:24:19.233070
11780  | 21:24:19.238070
10448  | 21:24:19.242072
6652   | 21:24:19.246073
9716   | 21:24:19.250073
11444  | 21:24:19.253074
6576   | 21:24:19.257076
2928   | 21:24:19.260076
9916   | 21:24:19.264076
10688  | 21:24:19.268077
3200   | 21:24:19.272078
11156  | 21:24:19.276079
10656  | 21:24:19.280080
11636  | 21:24:19.284081
11312  | 21:24:19.288082
12088  | 21:24:19.291083
11284  | 21:24:19.295083
6584   | 21:24:19.299085
9748   | 21:24:19.302085
10904  | 21:24:19.306086
7720   | 21:24:19.310087
10860  | 21:24:19.313088
11352  | 21:24:19.317089
11192  | 21:24:19.321089
12000  | 21:24:19.324090
10652  | 21:24:19.328091
7936   | 21:24:19.331092
8324   | 21:24:19.335093
6136   | 21:24:19.339094
10516  | 21:24:19.350813
5728   | 21:24:19.354815
1600   | 21:24:19.358816
6996   | 21:24:19.362817
11780  | 21:24:19.366819
10448  | 21:24:19.369819
6652   | 21:24:19.373821
9716   | 21:24:19.377821
11444  | 21:24:19.380822
6576   | 21:24:19.384823
2928   | 21:24:19.388824
9916   | 21:24:19.391825
10688  | 21:24:19.395826
3200   | 21:24:19.399827
11156  | 21:24:19.402827
10656  | 21:24:19.406828
11636  | 21:24:19.411829
11312  | 21:24:19.416831
12088  | 21:24:19.420831
11284  | 21:24:19.424832
6584   | 21:24:19.429833
9748   | 21:24:19.433834
10904  | 21:24:19.437835
7720   | 21:24:19.441836
10860  | 21:24:19.445837
11352  | 21:24:19.450838
11192  | 21:24:19.454839
12000  | 21:24:19.457839
10652  | 21:24:19.461841
7936   | 21:24:19.465841
8324   | 21:24:19.469842
6136   | 21:24:19.472843
10516  | 21:24:19.476844
5728   | 21:24:19.480845
1600   | 21:24:19.483845
6996   | 21:24:19.487846
11780  | 21:24:19.491847
10448  | 21:24:19.495848
6652   | 21:24:19.499849
9716   | 21:24:19.503850
11444  | 21:24:19.506851
6576   | 21:24:19.510851
2928   | 21:24:19.514852
9916   | 21:24:19.518853
10688  | 21:24:19.521854
3200   | 21:24:19.525855
11156  | 21:24:19.529856
10656  | 21:24:19.533857
11636  | 21:24:19.536858
11312  | 21:24:19.540858
12088  | 21:24:19.543859
11284  | 21:24:19.547860
6584   | 21:24:19.552861
9748   | 21:24:19.556862
10904  | 21:24:19.560863
7720   | 21:24:19.563863
10860  | 21:24:19.567864
11352  | 21:24:19.570865
11192  | 21:24:19.574866
12000  | 21:24:19.577867
10652  | 21:24:19.581868
7936   | 21:24:19.584868
8324   | 21:24:19.588869
6136   | 21:24:19.592870
10516  | 21:24:19.596871
5728   | 21:24:19.599872
1600   | 21:24:19.603872
6996   | 21:24:19.606873
11780  | 21:24:19.610874
10448  | 21:24:19.613875
6652   | 21:24:19.617876
9716   | 21:24:19.621877
11444  | 21:24:19.624877
6576   | 21:24:19.628878
2928   | 21:24:19.631879
9916   | 21:24:19.635880
10688  | 21:24:19.638881
3200   | 21:24:19.642881
11156  | 21:24:19.646882
10656  | 21:24:19.649883
11636  | 21:24:19.653884
11312  | 21:24:19.657885
12088  | 21:24:19.661886
11284  | 21:24:19.665886
6584   | 21:24:19.669887
9748   | 21:24:19.673888
10904  | 21:24:19.677889
7720   | 21:24:19.681890
10860  | 21:24:19.685891
11352  | 21:24:19.689892
11192  | 21:24:19.693893
12000  | 21:24:19.698894
10652  | 21:24:19.702895
7936   | 21:24:19.706896
8324   | 21:24:19.710897
6136   | 21:24:19.714897
10516  | 21:24:19.718898
5728   | 21:24:19.721899
1600   | 21:24:19.726900
6996   | 21:24:19.730901
11780  | 21:24:19.733902
10448  | 21:24:19.737903
6652   | 21:24:19.741904
9716   | 21:24:19.745905
11444  | 21:24:19.749905
6576   | 21:24:19.753907
2928   | 21:24:19.757907
9916   | 21:24:19.761908
10688  | 21:24:19.765909
3200   | 21:24:19.769910
11156  | 21:24:19.773911
10656  | 21:24:19.776912
11636  | 21:24:19.780912
11312  | 21:24:19.784913
12088  | 21:24:19.787914
11284  | 21:24:19.791915
6584   | 21:24:19.794916
9748   | 21:24:19.799917
10904  | 21:24:19.803918
7720   | 21:24:19.808919
10860  | 21:24:19.812920
11352  | 21:24:19.817921
11192  | 21:24:19.821922
12000  | 21:24:19.825923
10652  | 21:24:19.830924
7936   | 21:24:19.834924
8324   | 21:24:19.838926
6136   | 21:24:19.842927
10516  | 21:24:19.846928
5728   | 21:24:19.850928
1600   | 21:24:19.854929
6996   | 21:24:19.857930
11780  | 21:24:19.861931
10448  | 21:24:19.865932
6652   | 21:24:19.869932
9716   | 21:24:19.873934
11444  | 21:24:19.877934
6576   | 21:24:19.881935
2928   | 21:24:19.886937
9916   | 21:24:19.890937
10688  | 21:24:19.895938
3200   | 21:24:19.899939
11156  | 21:24:19.903940
10656  | 21:24:19.907941
11636  | 21:24:19.911942
11312  | 21:24:19.916943
12088  | 21:24:19.920944
11284  | 21:24:19.924945
6584   | 21:24:19.928946
9748   | 21:24:19.933947
10904  | 21:24:19.938948
7720   | 21:24:19.943949
10860  | 21:24:19.948950
11352  | 21:24:19.952951
11192  | 21:24:19.957953
12000  | 21:24:19.961954
10652  | 21:24:19.965954
7936   | 21:24:19.969955
8324   | 21:24:19.973956
6136   | 21:24:19.977957
10516  | 21:24:19.981958
5728   | 21:24:19.984958
1600   | 21:24:19.988960
6996   | 21:24:19.992960
11780  | 21:24:19.996962
10448  | 21:24:20.000962
6652   | 21:24:20.004963
9716   | 21:24:20.008964
11444  | 21:24:20.011965
6576   | 21:24:20.015965
2928   | 21:24:20.019966
9916   | 21:24:20.023968
10688  | 21:24:20.027968
3200   | 21:24:20.031969
11156  | 21:24:20.035970
10656  | 21:24:20.039971
11636  | 21:24:20.043972
11312  | 21:24:20.047973
12088  | 21:24:20.051974
11284  | 21:24:20.055975
6584   | 21:24:20.059976
9748   | 21:24:20.063976
10904  | 21:24:20.066977
7720   | 21:24:20.070978
10860  | 21:24:20.075979
11352  | 21:24:20.079980
11192  | 21:24:20.083981
12000  | 21:24:20.088982
10652  | 21:24:20.092983
7936   | 21:24:20.096984
8324   | 21:24:20.100985
6136   | 21:24:20.104986
10516  | 21:24:20.108987
5728   | 21:24:20.112987
1600   | 21:24:20.116989
6996   | 21:24:20.120989
11780  | 21:24:20.124990
10448  | 21:24:20.128991
6652   | 21:24:20.132992
9716   | 21:24:20.137993
11444  | 21:24:20.141994
6576   | 21:24:20.145995
2928   | 21:24:20.149996
9916   | 21:24:20.153997
10688  | 21:24:20.157997
3200   | 21:24:20.161999
11156  | 21:24:20.166000
10656  | 21:24:20.171001
11636  | 21:24:20.175002
11312  | 21:24:20.179002
12088  | 21:24:20.183003
11284  | 21:24:20.187005
6584   | 21:24:20.192005
9748   | 21:24:20.196006
10904  | 21:24:20.201007
7720   | 21:24:20.205008
10860  | 21:24:20.210009
11352  | 21:24:20.214010
11192  | 21:24:20.218011
12000  | 21:24:20.224013
10652  | 21:24:20.229014
7936   | 21:24:20.234015
8324   | 21:24:20.238015
6136   | 21:24:20.243017
10516  | 21:24:20.247020
5728   | 21:24:20.251021
1600   | 21:24:20.255022
6996   | 21:24:20.260023
11780  | 21:24:20.264024
10448  | 21:24:20.268024
6652   | 21:24:20.272026
9716   | 21:24:20.277027
11444  | 21:24:20.281028
6576   | 21:24:20.285028
2928   | 21:24:20.289030
9916   | 21:24:20.293030
10688  | 21:24:20.298031
3200   | 21:24:20.302032
11156  | 21:24:20.306033
10656  | 21:24:20.310034
11636  | 21:24:20.313035
11312  | 21:24:20.317036
12088  | 21:24:20.321037
11284  | 21:24:20.325037
6584   | 21:24:20.329038
9748   | 21:24:20.334040
10904  | 21:24:20.339041
7720   | 21:24:20.343041
10860  | 21:24:20.347006
11352  | 21:24:20.351007
11192  | 21:24:20.355008
12000  | 21:24:20.359008
10652  | 21:24:20.363009
7936   | 21:24:20.367011
8324   | 21:24:20.371011
6136   | 21:24:20.375012
10516  | 21:24:20.379013
5728   | 21:24:20.383014
1600   | 21:24:20.387015
6996   | 21:24:20.391016
11780  | 21:24:20.395016
10448  | 21:24:20.399018
6652   | 21:24:20.403018
9716   | 21:24:20.407020
11444  | 21:24:20.411020
6576   | 21:24:20.415022
2928   | 21:24:20.419022
9916   | 21:24:20.423023
10688  | 21:24:20.427024
3200   | 21:24:20.431025
11156  | 21:24:20.436026
10656  | 21:24:20.440027
11636  | 21:24:20.445028
11312  | 21:24:20.449029
12088  | 21:24:20.454030
11284  | 21:24:20.458031
6584   | 21:24:20.463033
9748   | 21:24:20.467033
10904  | 21:24:20.471034
7720   | 21:24:20.475035
10860  | 21:24:20.480036
11352  | 21:24:20.484037
11192  | 21:24:20.489038
12000  | 21:24:20.493039
10652  | 21:24:20.497040
7936   | 21:24:20.501040
8324   | 21:24:20.505042
6136   | 21:24:20.509042
10516  | 21:24:20.513043
5728   | 21:24:20.517044
1600   | 21:24:20.522046
6996   | 21:24:20.526046
11780  | 21:24:20.530047
10448  | 21:24:20.534048
6652   | 21:24:20.538049
9716   | 21:24:20.542050
11444  | 21:24:20.545959
6576   | 21:24:20.549954
2928   | 21:24:20.553955
9916   | 21:24:20.557956
10688  | 21:24:20.561957
3200   | 21:24:20.564957
11156  | 21:24:20.569959
10656  | 21:24:20.573959
11636  | 21:24:20.577960
11312  | 21:24:20.581961
12088  | 21:24:20.585962
11284  | 21:24:20.589963
6584   | 21:24:20.593964
9748   | 21:24:20.597965
10904  | 21:24:20.602966
7720   | 21:24:20.607967
10860  | 21:24:20.611968
11352  | 21:24:20.615969
11192  | 21:24:20.619970
12000  | 21:24:20.623971
10652  | 21:24:20.627972
7936   | 21:24:20.631973
8324   | 21:24:20.636974
6136   | 21:24:20.640975
10516  | 21:24:20.644975
5728   | 21:24:20.647976
1600   | 21:24:20.651977
6996   | 21:24:20.655978
11780  | 21:24:20.659979
10448  | 21:24:20.663980
